family	donor_node	recipient_node	donor_is_terminal	recipient_is_terminal	sample_support_count	sample_support	recipient_class	recipient_order	donor_class	donor_order
soxb	GCF_013201625.1	node_263	True	False	2	0.02			c__Campylobacteria	o__Campylobacterales
soxb	node_282	node_19	False	False	1	0.01				
soxb	node_52	node_230	False	False	1	0.01				
soxb	node_217	node_216	False	False	1	0.01				
soxb	GCF_033723955.1	node_126	True	False	2	0.02			c__Gammaproteobacteria	o__Pseudomonadales
soxb	node_126	node_63	False	False	1	0.01				
soxb	node_65	node_50	False	False	1	0.01				
soxb	GCF_021165955.1	node_102	True	False	1	0.01			c__Gammaproteobacteria	o__Burkholderiales
soxb	GCF_026898155.1	node_230	True	False	1	0.01			c__Alphaproteobacteria	o__Rhizobiales
soxb	node_234	node_258	False	False	1	0.01				
soxb	GCF_021165955.1	node_108	True	False	1	0.01			c__Gammaproteobacteria	o__Burkholderiales
soxb	node_50	node_58	False	False	1	0.01				
soxb	node_14	node_23	False	False	1	0.01				
soxb	GCF_003065365.1	node_113	True	False	1	0.01			c__Gammaproteobacteria	o__Burkholderiales
soxb	node_15	node_10	False	False	1	0.01				
soxb	node_229	GCF_016653635.2	False	True	1	0.01	c__Alphaproteobacteria	o__Azospirillales		
soxb	GCF_000022145.1	node_7	True	False	1	0.01			c__Myxococcia	o__Myxococcales
soxb	node_4	GCF_000202835.1	False	True	1	0.01	c__Alphaproteobacteria	o__Acetobacterales		
soxb	GCF_002795845.1	node_26	True	False	1	0.01			c__Gammaproteobacteria	o__Pseudomonadales
soxb	node_5	GCF_000219915.2	False	True	1	0.01	c__Gammaproteobacteria	o__Burkholderiales		
soxb	GCF_002865605.1	node_218	True	False	1	0.01			c__Alphaproteobacteria	o__Rhodobacterales
soxb	node_146	node_149	False	False	2	0.02				
soxb	node_180	GCF_040580765.1	False	True	1	0.01	c__Alphaproteobacteria	o__Rhodobacterales		
soxb	node_204	node_180	False	False	1	0.01				
soxb	node_192	node_190	False	False	1	0.01				
soxb	GCF_033723955.1	node_48	True	False	2	0.02			c__Gammaproteobacteria	o__Pseudomonadales
soxb	node_264	node_258	False	False	1	0.01				
soxb	GCF_025639885.1	node_191	True	False	1	0.01			c__Alphaproteobacteria	o__Rhodobacterales
soxb	node_180	node_192	False	False	1	0.01				
soxb	GCF_040580765.1	node_194	True	False	2	0.02			c__Alphaproteobacteria	o__Rhodobacterales
soxb	node_5	node_3	False	False	2	0.02				
soxb	node_179	node_177	False	False	1	0.01				
soxb	GCF_047715485.1	GCF_044772865.1	True	True	1	0.01	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxb	GCF_000022145.1	node_50	True	False	1	0.01			c__Myxococcia	o__Myxococcales
soxb	GCF_003568845.1	node_231	True	False	1	0.01			c__Alphaproteobacteria	o__Azospirillales
soxb	GCF_016806125.1	GCF_047715485.1	True	True	1	0.01	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxb	node_76	node_75	False	False	1	0.01				
soxb	node_79	node_229	False	False	1	0.01				
soxb	node_2	GCF_000968535.2	False	True	2	0.02	c__Gammaproteobacteria	o__Methylococcales		
soxb	node_205	GCF_003008555.2	False	True	1	0.01	c__Alphaproteobacteria	o__Rhodobacterales		
soxb	node_147	node_150	False	False	1	0.01				
soxb	node_76	node_127	False	False	1	0.01				
soxb	GCF_000297055.2	node_55	True	False	1	0.01			c__Gammaproteobacteria	o__Burkholderiales
soxb	node_2	node_1	False	False	1	0.01				
soxb	node_14	node_2	False	False	2	0.02				
soxb	node_2	node_5	False	False	1	0.01				
soxb	node_66	node_56	False	False	1	0.01				
soxb	GCF_001854325.1	node_107	True	False	1	0.01			c__Gammaproteobacteria	o__Burkholderiales
soxb	node_85	node_86	False	False	1	0.01				
soxb	GCF_011388215.1	node_81	True	False	1	0.01			c__Gammaproteobacteria	o__Burkholderiales
soxb	node_76	node_126	False	False	1	0.01				
soxb	node_297	GCF_002795845.1	False	True	1	0.01	c__Gammaproteobacteria	o__Pseudomonadales		
soxb	node_113	node_114	False	False	1	0.01				
soxb	node_10	node_15	False	False	1	0.01				
soxb	node_150	node_149	False	False	1	0.01				
soxb	node_236	node_264	False	False	1	0.01				
soxb	GCF_041200145.1	GCF_049949285.1	True	True	1	0.01	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhizobiales
soxb	GCF_003568845.1	GCF_016653635.2	True	True	1	0.01	c__Alphaproteobacteria	o__Azospirillales	c__Alphaproteobacteria	o__Azospirillales
soxb	node_234	node_15	False	False	1	0.01				
soxb	node_236	node_280	False	False	1	0.01				
soxb	GCF_049949285.1	node_151	True	False	1	0.01			c__Alphaproteobacteria	o__Rhizobiales
soxb	node_236	node_234	False	False	1	0.01				
soxb	node_166	node_163	False	False	1	0.01				
soxb	node_279	node_236	False	False	1	0.01				
soxb	GCF_050749815.1	node_282	True	False	1	0.01			c__Gammaproteobacteria	o__Xanthomonadales
soxb	node_83	node_87	False	False	1	0.01				
soxb	node_295	node_294	False	False	1	0.01				
soxb	GCF_000202835.1	node_4	True	False	1	0.01			c__Alphaproteobacteria	o__Acetobacterales
soxb	node_94	node_98	False	False	1	0.01				
soxb	node_146	GCF_045571495.1	False	True	1	0.01	c__Alphaproteobacteria	o__Rhizobiales		
soxb	node_9	node_34	False	False	2	0.02				
soxb	node_249	node_243	False	False	1	0.01				
soxb	node_194	node_198	False	False	1	0.01				
soxb	node_264	node_233	False	False	1	0.01				
soxb	node_240	GCF_014931715.1	False	True	1	0.01	c__Campylobacteria	o__Campylobacterales		
soxb	node_162	node_230	False	False	1	0.01				
soxb	GCF_002795845.1	node_267	True	False	1	0.01			c__Gammaproteobacteria	o__Pseudomonadales
soxb	node_165	node_160	False	False	1	0.01				
soxb	GCF_014931715.1	GCF_000987835.1	True	True	1	0.01	c__Campylobacteria	o__Campylobacterales	c__Campylobacteria	o__Campylobacterales
soxb	node_258	GCF_002795845.1	False	True	1	0.01	c__Gammaproteobacteria	o__Pseudomonadales		
soxb	GCF_002795845.1	node_237	True	False	1	0.01			c__Gammaproteobacteria	o__Pseudomonadales
soxb	GCF_000224005.2	node_29	True	False	1	0.01			c__Gammaproteobacteria	o__Chromatiales
soxb	node_241	node_240	False	False	1	0.01				
soxb	node_218	GCF_002865605.1	False	True	2	0.02	c__Alphaproteobacteria	o__Rhodobacterales		
soxb	node_166	node_167	False	False	1	0.01				
soxb	node_209	node_207	False	False	1	0.01				
soxb	node_287	GCF_011006175.1	False	True	1	0.01	c__Aquificia	o__Aquificales		
soxb	GCF_027594865.1	node_150	True	False	1	0.01			c__Alphaproteobacteria	o__Rhizobiales
soxb	GCF_002795845.1	node_297	True	False	1	0.01			c__Gammaproteobacteria	o__Pseudomonadales
soxb	GCF_014337925.2	GCF_030285785.1	True	True	1	0.01	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxb	GCF_030285785.1	GCF_004006175.1	True	True	1	0.01	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxb	node_138	node_134	False	False	1	0.01				
soxb	GCF_014495845.1	GCF_000154705.2	True	True	1	0.01	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhizobiales
soxb	node_173	node_160	False	False	1	0.01				
soxb	node_36	node_164	False	False	1	0.01				
soxb	node_137	node_36	False	False	1	0.01				
soxb	GCF_033723955.1	node_282	True	False	1	0.01			c__Gammaproteobacteria	o__Pseudomonadales
soxb	node_166	GCF_001953055.1	False	True	1	0.01	c__Alphaproteobacteria	o__Rhizobiales		
soxb	node_241	node_250	False	False	1	0.01				
soxb	GCF_000972785.3	node_51	True	False	1	0.01			c__Gammaproteobacteria	o__Burkholderiales
soxb	node_173	node_169	False	False	1	0.01				
soxb	GCF_016806125.1	GCF_032842945.2	True	True	1	0.01	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxb	node_226	node_14	False	False	2	0.02				
soxb	node_223	node_225	False	False	1	0.01				
soxb	node_225	GCF_027923555.1	False	True	1	0.01	c__Vulcanimicrobiia	o__Vulcanimicrobiales		
soxb	node_240	node_236	False	False	1	0.01				
soxb	node_226	GCF_000968535.2	False	True	1	0.01	c__Gammaproteobacteria	o__Methylococcales		
soxb	node_14	node_225	False	False	1	0.01				
soxb	node_63	node_7	False	False	1	0.01				
soxb	node_75	node_76	False	False	1	0.01				
soxb	GCF_000968535.2	node_5	True	False	1	0.01			c__Gammaproteobacteria	o__Methylococcales
soxb	node_33	node_39	False	False	1	0.01				
soxb	node_145	node_144	False	False	1	0.01				
soxb	node_206	node_193	False	False	1	0.01				
soxb	GCF_016806125.1	node_206	True	False	1	0.01			c__Alphaproteobacteria	o__Rhodobacterales
soxb	node_186	node_178	False	False	1	0.01				
soxb	node_18	node_142	False	False	2	0.02				
soxb	GCF_041378895.1	node_73	True	False	1	0.01			c__Gammaproteobacteria	o__Burkholderiales
soxb	node_142	node_226	False	False	1	0.01				
soxb	GCF_001723605.1	node_267	True	False	1	0.01			c__Campylobacteria	o__Campylobacterales
soxb	node_226	node_3	False	False	1	0.01				
soxb	node_14	node_226	False	False	1	0.01				
soxb	node_279	GCF_001723605.1	False	True	1	0.01	c__Campylobacteria	o__Campylobacterales		
soxb	GCF_000012965.1	node_244	True	False	1	0.01			c__Campylobacteria	o__Campylobacterales
soxb	GCF_001723605.1	node_280	True	False	1	0.01			c__Campylobacteria	o__Campylobacterales
soxb	node_91	node_57	False	False	1	0.01				
soxb	node_3	node_283	False	False	1	0.01				
soxb	node_193	GCF_012932215.1	False	True	1	0.01	c__Alphaproteobacteria	o__Rhodobacterales		
soxb	node_10	node_280	False	False	1	0.01				
soxb	GCF_000202835.1	node_139	True	False	1	0.01			c__Alphaproteobacteria	o__Acetobacterales
soxb	node_10	node_267	False	False	1	0.01				
soxb	node_10	node_237	False	False	1	0.01				
soxb	node_279	node_10	False	False	1	0.01				
soxb	node_16	node_19	False	False	1	0.01				
soxb	GCF_001620265.1	node_217	True	False	1	0.01			c__Alphaproteobacteria	o__Rhodobacterales
soxb	GCF_000015725.1	node_80	True	False	1	0.01			c__Gammaproteobacteria	o__Burkholderiales
soxb	node_234	node_290	False	False	1	0.01				
soxb	GCF_014489595.1	GCF_014395975.1	True	True	1	0.01	c__Gammaproteobacteria	o__Burkholderiales	c__Gammaproteobacteria	o__Burkholderiales
soxb	node_139	node_157	False	False	1	0.01				
soxb	node_82	GCF_014489595.1	False	True	1	0.01	c__Gammaproteobacteria	o__Burkholderiales		
soxc	GCF_001693515.2	GCF_018736085.1	True	True	22	0.22	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhizobiales
soxc	node_66	GCF_013307225.1	False	True	85	0.85	c__Gammaproteobacteria	o__Burkholderiales		
soxc	GCF_029958925.1	GCF_016806125.1	True	True	41	0.41	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxc	GCF_040409955.1	GCF_012932215.1	True	True	14	0.14	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxc	node_110	GCF_024662015.1	False	True	15	0.15	c__Alphaproteobacteria	o__Thalassobaculales		
soxc	GCF_026898155.1	GCF_016806835.2	True	True	90	0.9	c__Alphaproteobacteria	o__Azospirillales	c__Alphaproteobacteria	o__Rhizobiales
soxc	node_59	GCF_001029105.3	False	True	59	0.59	c__Gammaproteobacteria	o__Burkholderiales		
soxc	GCF_032842945.2	node_147	True	False	30	0.3			c__Alphaproteobacteria	o__Rhodobacterales
soxc	GCF_025639885.1	GCF_040790665.1	True	True	71	0.71	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxc	node_64	GCF_022811525.1	False	True	94	0.94	c__Gammaproteobacteria	o__Burkholderiales		
soxc	node_101	node_110	False	False	1	0.01				
soxc	GCF_030413175.1	GCF_018279705.1	True	True	43	0.43	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhizobiales
soxc	node_0	node_7	False	False	1	0.01				
soxc	node_211	GCF_024347215.1	False	True	22	0.22	c__Gammaproteobacteria	o__Pseudomonadales		
soxc	node_55	GCF_008274805.1	False	True	39	0.39	c__Gammaproteobacteria	o__Burkholderiales		
soxc	node_39	node_33	False	False	20	0.2				
soxc	node_18	GCF_033723955.1	False	True	43	0.43	c__Gammaproteobacteria	o__Pseudomonadales		
soxc	node_61	node_57	False	False	2	0.02				
soxc	node_19	node_61	False	False	8	0.08				
soxc	node_19	node_21	False	False	11	0.11				
soxc	node_92	node_3	False	False	1	0.01				
soxc	GCF_022788655.1	GCF_002504165.1	True	True	19	0.19	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxc	node_168	node_0	False	False	1	0.01				
soxc	GCF_024347215.1	GCF_000143145.1	True	True	13	0.13	c__Alphaproteobacteria	o__Rhizobiales	c__Gammaproteobacteria	o__Pseudomonadales
soxc	GCF_002795845.1	GCF_009650135.1	True	True	20	0.2	c__Gammaproteobacteria	o__Pseudomonadales	c__Gammaproteobacteria	o__Pseudomonadales
soxc	GCF_000147355.1	node_179	True	False	80	0.8			c__Campylobacteria	o__Campylobacterales
soxc	node_92	node_24	False	False	1	0.01				
soxc	GCF_029953595.1	GCF_028553805.1	True	True	88	0.88	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxc	GCF_019973615.1	node_44	True	False	86	0.86			c__Gammaproteobacteria	o__Burkholderiales
soxc	node_92	node_211	False	False	1	0.01				
soxc	node_70	node_89	False	False	2	0.02				
soxc	GCF_041200145.1	GCF_027594865.1	True	True	94	0.94	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhizobiales
soxc	GCF_029958925.1	node_129	True	False	66	0.66			c__Alphaproteobacteria	o__Rhodobacterales
soxc	node_0	node_92	False	False	3	0.03				
soxc	node_93	node_98	False	False	43	0.43				
soxc	node_92	node_70	False	False	1	0.01				
soxc	GCF_000967425.1	GCF_014495845.1	True	True	38	0.38	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhizobiales
soxc	node_126	node_135	False	False	68	0.68				
soxc	GCF_002865605.1	GCF_003544895.1	True	True	7	0.07	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxc	node_93	node_79	False	False	23	0.23				
soxc	node_110	GCF_003403095.1	False	True	11	0.11	c__Alphaproteobacteria	o__Rhodospirillales		
soxc	node_39	node_27	False	False	29	0.29				
soxc	node_24	GCF_000013885.1	False	True	3	0.03	c__Alphaproteobacteria	o__Rhizobiales		
soxc	node_171	node_175	False	False	62	0.62				
soxc	node_93	GCF_003568845.1	False	True	9	0.09	c__Alphaproteobacteria	o__Azospirillales		
soxc	node_157	GCF_001633165.1	False	True	88	0.88	c__Alphaproteobacteria	o__Rhodobacterales		
soxc	node_39	node_75	False	False	56	0.56				
soxc	node_92	GCF_027923555.1	False	True	4	0.04	c__Vulcanimicrobiia	o__Vulcanimicrobiales		
soxc	node_43	GCF_007954405.1	False	True	91	0.91	c__Gammaproteobacteria	o__Burkholderiales		
soxc	node_36	GCF_900130075.1	False	True	50	0.5	c__Gammaproteobacteria	o__Burkholderiales		
soxc	GCF_003544835.1	node_195	True	False	26	0.26			c__Campylobacteria	o__Campylobacterales
soxc	GCF_000202835.1	node_83	True	False	5	0.05			c__Alphaproteobacteria	o__Acetobacterales
soxc	node_182	GCF_014931715.1	False	True	70	0.7	c__Campylobacteria	o__Campylobacterales		
soxc	node_83	node_96	False	False	1	0.01				
soxc	GCF_018282095.1	node_117	True	False	3	0.03			c__Alphaproteobacteria	o__Rhizobiales
soxc	GCF_003065365.1	node_71	True	False	87	0.87			c__Gammaproteobacteria	o__Burkholderiales
soxc	node_158	node_165	False	False	1	0.01				
soxc	node_126	node_121	False	False	77	0.77				
soxc	node_188	node_166	False	False	88	0.88				
soxc	GCF_025639885.1	GCF_008728195.1	True	True	50	0.5	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxc	GCF_026013905.1	node_52	True	False	76	0.76			c__Gammaproteobacteria	o__Burkholderiales
soxc	node_107	node_109	False	False	3	0.03				
soxc	node_72	GCF_018687955.1	False	True	93	0.93	c__Gammaproteobacteria	o__Burkholderiales		
soxc	node_195	node_185	False	False	42	0.42				
soxc	GCF_020510565.1	GCF_020510525.1	True	True	48	0.48	c__Gammaproteobacteria	o__Burkholderiales	c__Gammaproteobacteria	o__Burkholderiales
soxc	node_178	GCF_000012965.1	False	True	63	0.63	c__Campylobacteria	o__Campylobacterales		
soxc	GCF_002119765.1	node_82	True	False	16	0.16			c__Alphaproteobacteria	o__Rhizobiales
soxc	node_209	node_189	False	False	82	0.82				
soxc	node_123	GCF_001308265.1	False	True	42	0.42	c__Alphaproteobacteria	o__Rhodobacterales		
soxc	node_0	node_5	False	False	1	0.01				
soxc	GCF_001620265.1	node_151	True	False	9	0.09			c__Alphaproteobacteria	o__Rhodobacterales
soxc	GCF_001465595.2	GCF_001465545.3	True	True	92	0.92	c__Gammaproteobacteria	o__Burkholderiales	c__Gammaproteobacteria	o__Burkholderiales
soxc	node_38	GCF_040269895.1	False	True	7	0.07	c__Alphaproteobacteria	o__Rhizobiales		
soxc	node_7	GCF_000202835.1	False	True	1	0.01	c__Alphaproteobacteria	o__Acetobacterales		
soxc	node_92	node_93	False	False	1	0.01				
soxc	GCF_001187845.1	GCF_038443675.1	True	True	66	0.66	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxc	node_177	GCF_000987835.1	False	True	46	0.46	c__Campylobacteria	o__Campylobacterales		
soxc	GCF_012932215.1	GCF_032842945.2	True	True	6	0.06	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxc	GCF_014337925.2	node_141	True	False	95	0.95			c__Alphaproteobacteria	o__Rhodobacterales
soxc	GCF_040269895.1	GCF_001305595.1	True	True	43	0.43	c__Alphaproteobacteria	o__Azospirillales	c__Alphaproteobacteria	o__Rhizobiales
soxc	node_39	GCF_003574215.1	False	True	29	0.29	c__Gammaproteobacteria	o__Burkholderiales		
soxc	node_22	GCF_047549485.1	False	True	6	0.06	c__Gammaproteobacteria	o__Burkholderiales		
soxc	node_80	GCF_026409565.1	False	True	87	0.87	c__Alphaproteobacteria	o__Sneathiellales		
soxc	node_35	node_48	False	False	24	0.24				
soxc	GCF_000143145.1	GCF_000968535.2	True	True	44	0.44	c__Gammaproteobacteria	o__Methylococcales	c__Alphaproteobacteria	o__Rhizobiales
soxc	GCF_029853695.1	GCF_002865605.1	True	True	3	0.03	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxc	GCF_005234135.1	node_123	True	False	42	0.42			c__Alphaproteobacteria	o__Rhodobacterales
soxc	node_80	GCF_030413175.1	False	True	41	0.41	c__Alphaproteobacteria	o__Rhizobiales		
soxc	GCF_002865605.1	GCF_022788655.1	True	True	2	0.02	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxc	GCF_002865605.1	GCF_001620265.1	True	True	5	0.05	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxc	node_182	node_184	False	False	25	0.25				
soxc	GCF_012932215.1	GCF_026191725.2	True	True	40	0.4	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhodobacterales
soxc	node_35	node_24	False	False	1	0.01				
soxc	GCF_003660105.1	node_202	True	False	93	0.93			c__Campylobacteria	o__Campylobacterales
soxc	node_19	GCF_000022145.1	False	True	35	0.35	c__Myxococcia	o__Myxococcales		
soxc	node_37	GCF_009746125.1	False	True	27	0.27	c__Gammaproteobacteria	o__Burkholderiales		
soxc	node_27	node_39	False	False	2	0.02				
soxc	GCF_040409955.1	GCF_026191725.2	True	True	14	0.14	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhodobacterales
soxc	node_127	node_135	False	False	23	0.23				
soxc	GCF_018282095.1	GCF_024662015.1	True	True	26	0.26	c__Alphaproteobacteria	o__Thalassobaculales	c__Alphaproteobacteria	o__Rhizobiales
soxc	node_160	node_102	False	False	1	0.01				
soxc	node_151	GCF_002865605.1	False	True	26	0.26	c__Alphaproteobacteria	o__Rhodobacterales		
soxc	node_154	node_152	False	False	57	0.57				
soxc	node_122	GCF_009762325.1	False	True	7	0.07	c__Alphaproteobacteria	o__Rhodobacterales		
soxc	GCF_039645995.1	GCF_021044585.1	True	True	23	0.23	c__Campylobacteria	o__Campylobacterales	c__Campylobacteria	o__Campylobacterales
soxc	node_157	node_116	False	False	12	0.12				
soxc	node_178	node_173	False	False	7	0.07				
soxc	GCF_026191725.2	node_147	True	False	11	0.11			c__Alphaproteobacteria	o__Rhizobiales
soxc	node_58	node_0	False	False	2	0.02				
soxc	GCF_019203965.1	node_165	True	False	10	0.1			c__Alphaproteobacteria	o__Acetobacterales
soxc	node_12	node_16	False	False	14	0.14				
soxc	GCF_001308265.1	node_123	True	False	31	0.31			c__Alphaproteobacteria	o__Rhodobacterales
soxc	node_12	node_83	False	False	3	0.03				
soxc	node_211	GCF_033723955.1	False	True	4	0.04	c__Gammaproteobacteria	o__Pseudomonadales		
soxc	GCF_001305595.1	GCF_040269895.1	True	True	43	0.43	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Azospirillales
soxc	node_211	GCF_000143145.1	False	True	11	0.11	c__Alphaproteobacteria	o__Rhizobiales		
soxc	node_83	GCF_000202835.1	False	True	3	0.03	c__Alphaproteobacteria	o__Acetobacterales		
soxc	node_210	GCF_019203965.1	False	True	4	0.04	c__Alphaproteobacteria	o__Acetobacterales		
soxc	node_12	node_210	False	False	3	0.03				
soxc	node_84	node_88	False	False	21	0.21				
soxc	node_107	GCF_900231165.1	False	True	23	0.23	c__Alphaproteobacteria	o__Rhizobiales		
soxc	GCF_018279705.1	node_80	True	False	2	0.02			c__Alphaproteobacteria	o__Rhizobiales
soxc	node_58	GCF_000934605.2	False	True	21	0.21	c__Gammaproteobacteria	o__Burkholderiales		
soxc	node_10	node_14	False	False	16	0.16				
soxc	node_20	GCF_001305595.1	False	True	12	0.12	c__Alphaproteobacteria	o__Azospirillales		
soxc	GCF_020510525.1	node_33	True	False	2	0.02			c__Gammaproteobacteria	o__Burkholderiales
soxc	node_160	node_111	False	False	1	0.01				
soxc	GCF_001659725.1	node_89	True	False	37	0.37			c__Gammaproteobacteria	o__Burkholderiales
soxc	node_211	node_158	False	False	2	0.02				
soxc	GCF_033723955.1	GCF_050749815.1	True	True	5	0.05	c__Gammaproteobacteria	o__Xanthomonadales	c__Gammaproteobacteria	o__Pseudomonadales
soxc	GCF_900130075.1	node_36	True	False	22	0.22			c__Gammaproteobacteria	o__Burkholderiales
soxc	node_151	GCF_003544895.1	False	True	32	0.32	c__Alphaproteobacteria	o__Rhodobacterales		
soxc	GCF_026409565.1	GCF_018279705.1	True	True	2	0.02	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Sneathiellales
soxc	node_34	node_48	False	False	51	0.51				
soxc	node_98	node_93	False	False	36	0.36				
soxc	node_176	GCF_000987835.1	False	True	33	0.33	c__Campylobacteria	o__Campylobacterales		
soxc	GCF_018282095.1	node_149	True	False	46	0.46			c__Alphaproteobacteria	o__Rhizobiales
soxc	node_160	GCF_018282095.1	False	True	2	0.02	c__Alphaproteobacteria	o__Rhizobiales		
soxc	node_159	node_98	False	False	1	0.01				
soxc	node_147	node_132	False	False	3	0.03				
soxc	node_211	GCF_001659725.1	False	True	18	0.18	c__Gammaproteobacteria	o__Burkholderiales		
soxc	GCF_000013885.1	GCF_009938015.1	True	True	46	0.46	c__Gammaproteobacteria	o__Burkholderiales	c__Alphaproteobacteria	o__Rhizobiales
soxc	GCF_005234135.1	node_148	True	False	5	0.05			c__Alphaproteobacteria	o__Rhodobacterales
soxc	GCF_002504165.1	GCF_022788655.1	True	True	48	0.48	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxc	GCF_018279705.1	node_96	True	False	3	0.03			c__Alphaproteobacteria	o__Rhizobiales
soxc	GCF_000013885.1	GCF_008932115.1	True	True	23	0.23	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhizobiales
soxc	node_0	node_19	False	False	1	0.01				
soxc	node_19	node_20	False	False	18	0.18				
soxc	GCF_033723955.1	node_58	True	False	2	0.02			c__Gammaproteobacteria	o__Pseudomonadales
soxc	GCF_026191725.2	GCF_012932215.1	True	True	44	0.44	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhizobiales
soxc	GCF_000143145.1	GCF_024347215.1	True	True	19	0.19	c__Gammaproteobacteria	o__Pseudomonadales	c__Alphaproteobacteria	o__Rhizobiales
soxc	node_211	GCF_000013885.1	False	True	8	0.08	c__Alphaproteobacteria	o__Rhizobiales		
soxc	GCF_029853695.1	node_115	True	False	29	0.29			c__Alphaproteobacteria	o__Rhodobacterales
soxc	node_38	GCF_008274805.1	False	True	8	0.08	c__Gammaproteobacteria	o__Burkholderiales		
soxc	node_168	node_9	False	False	14	0.14				
soxc	GCF_008274805.1	node_55	True	False	34	0.34			c__Gammaproteobacteria	o__Burkholderiales
soxc	node_182	node_171	False	False	2	0.02				
soxc	GCF_000968535.2	GCF_000143145.1	True	True	33	0.33	c__Alphaproteobacteria	o__Rhizobiales	c__Gammaproteobacteria	o__Methylococcales
soxc	node_80	node_159	False	False	9	0.09				
soxc	GCF_016653635.2	node_161	True	False	4	0.04			c__Alphaproteobacteria	o__Azospirillales
soxc	node_173	node_177	False	False	3	0.03				
soxc	GCF_001308265.1	node_122	True	False	5	0.05			c__Alphaproteobacteria	o__Rhodobacterales
soxc	node_16	GCF_000202835.1	False	True	7	0.07	c__Alphaproteobacteria	o__Acetobacterales		
soxc	GCF_024347215.1	GCF_000968535.2	True	True	14	0.14	c__Gammaproteobacteria	o__Methylococcales	c__Gammaproteobacteria	o__Pseudomonadales
soxc	GCF_005234135.1	GCF_001308265.1	True	True	30	0.3	c__Alphaproteobacteria	o__Rhodobacterales	c__Alphaproteobacteria	o__Rhodobacterales
soxc	node_151	GCF_002504165.1	False	True	1	0.01	c__Alphaproteobacteria	o__Rhodobacterales		
soxc	GCF_003574215.1	node_27	True	False	1	0.01			c__Gammaproteobacteria	o__Burkholderiales
soxc	GCF_000202835.1	GCF_018736085.1	True	True	7	0.07	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Acetobacterales
soxc	node_164	node_31	False	False	4	0.04				
soxc	node_102	node_158	False	False	19	0.19				
soxc	GCF_018736085.1	GCF_001693515.2	True	True	30	0.3	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhizobiales
soxc	node_32	GCF_003574215.1	False	True	1	0.01	c__Gammaproteobacteria	o__Burkholderiales		
soxc	GCF_013358405.1	GCF_000154705.2	True	True	38	0.38	c__Alphaproteobacteria	o__Rhizobiales	c__Alphaproteobacteria	o__Rhizobiales
soxc	node_57	GCF_000934605.2	False	True	13	0.13	c__Gammaproteobacteria	o__Burkholderiales		
soxc	node_20	node_162	False	False	1	0.01				
soxc	node_20	GCF_000022145.1	False	True	17	0.17	c__Myxococcia	o__Myxococcales		
