assembly_accession	n_cds	n_sox_hits	n_excluded_pseudogene_or_partial_sox_hits	n_distinct_sox_genes	sox_genes	n_mobile_features	sox_with_mobile_within_20kb	refseq_category	taxid	species_taxid	organism_name	assembly_level	group	genome_size	gc_percent	scaffold_count	contig_count	annotation_provider	annotation_date	ftp_path	gff_url	protein_url	genome_url	gtdb_accession	gtdb_lineage	gtdb_domain	gtdb_phylum	gtdb_class	gtdb_order	gtdb_family	gtdb_genus	gtdb_species	has_soxB	has_carrier_YZ	has_cytochrome_AX	has_dehydrogenase_CD	module_completeness	module_class	gtdb_mapped
GCF_000511385.1	4318	6	0	6	soxa,soxb,soxc,soxx,soxy,soxz	39	0	reference genome	1423144	60890	Phaeobacter gallaeciensis DSM 26640	Complete Genome	bacteria	4540155	59.500000	8	8	NCBI RefSeq	2025-12-10	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/511/385/GCF_000511385.1_ASM51138v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/511/385/GCF_000511385.1_ASM51138v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/511/385/GCF_000511385.1_ASM51138v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/511/385/GCF_000511385.1_ASM51138v1//_genomic.fna.gz	RS_GCF_000511385.1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Phaeobacter;s__Phaeobacter gallaeciensis	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Phaeobacter	s__Phaeobacter gallaeciensis	True	True	True	True	4	complete	True
GCF_000512735.1	1628	5	0	5	soxa,soxb,soxx,soxy,soxz	4	0	reference genome	75906	75906	Thermocrinis ruber	Complete Genome	bacteria	1521037	45.000000	1	1	NCBI RefSeq	2026-05-02	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/512/735/GCF_000512735.1_ASM51273v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/512/735/GCF_000512735.1_ASM51273v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/512/735/GCF_000512735.1_ASM51273v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/512/735/GCF_000512735.1_ASM51273v1//_genomic.fna.gz	RS_GCF_000512735.1	d__Bacteria;p__Aquificota;c__Aquificia;o__Aquificales;f__Aquificaceae;g__Thermocrinis;s__Thermocrinis ruber	d__Bacteria	p__Aquificota	c__Aquificia	o__Aquificales	f__Aquificaceae	g__Thermocrinis	s__Thermocrinis ruber	True	True	True	False	3	near_complete	True
GCF_000590925.1	3492	6	0	6	soxa,soxb,soxc,soxx,soxy,soxz	29	0	reference genome	1294273	159346	Roseicyclus elongatus DSM 19469	Complete Genome	bacteria	3555109	65.500000	1	1	NCBI RefSeq	2025-12-01	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/590/925/GCF_000590925.1_ASM59092v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/590/925/GCF_000590925.1_ASM59092v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/590/925/GCF_000590925.1_ASM59092v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/590/925/GCF_000590925.1_ASM59092v1//_genomic.fna.gz	RS_GCF_000590925.1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseibacterium;s__Roseibacterium elongatum	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Roseibacterium	s__Roseibacterium elongatum	True	True	True	True	4	complete	True
GCF_000807775.2	4876	6	0	6	soxa,soxb,soxc,soxx,soxy,soxz	19	0	reference genome	1891094	1891094	Pandoraea fibrosis	Complete Genome	bacteria	5592065	63.000000	1	1	NCBI RefSeq	2025-12-11	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/807/775/GCF_000807775.2_ASM80777v2/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/807/775/GCF_000807775.2_ASM80777v2//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/807/775/GCF_000807775.2_ASM80777v2//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/807/775/GCF_000807775.2_ASM80777v2//_genomic.fna.gz	RS_GCF_000807775.2	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pandoraea;s__Pandoraea fibrosis	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Pandoraea	s__Pandoraea fibrosis	True	True	True	True	4	complete	True
GCF_000815105.2	5021	6	0	6	soxa,soxb,soxc,soxx,soxy,soxz	22	0	reference genome	93221	93221	Pandoraea pulmonicola	Complete Genome	bacteria	5867621	64.500000	1	1	NCBI RefSeq	2026-03-05	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/815/105/GCF_000815105.2_ASM81510v2/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/815/105/GCF_000815105.2_ASM81510v2//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/815/105/GCF_000815105.2_ASM81510v2//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/815/105/GCF_000815105.2_ASM81510v2//_genomic.fna.gz	RS_GCF_000815105.2	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pandoraea;s__Pandoraea pulmonicola	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Pandoraea	s__Pandoraea pulmonicola	True	True	True	True	4	complete	True
GCF_000826835.2	3986	6	0	6	soxa,soxb,soxc,soxx,soxy,soxz	22	0	reference genome	1580596	1580596	Phaeobacter piscinae	Complete Genome	bacteria	4227039	60.000000	5	5	NCBI RefSeq	2025-08-08	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/826/835/GCF_000826835.2_ASM82683v2/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/826/835/GCF_000826835.2_ASM82683v2//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/826/835/GCF_000826835.2_ASM82683v2//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/826/835/GCF_000826835.2_ASM82683v2//_genomic.fna.gz	RS_GCF_000826835.2	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Phaeobacter;s__Phaeobacter piscinae	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Phaeobacter	s__Phaeobacter piscinae	True	True	True	True	4	complete	True
GCF_000828615.1	2970	5	0	5	soxa,soxb,soxx,soxy,soxz	68	0	reference genome	1076588	1076588	Thiolapillus brandeum	Complete Genome	bacteria	3153637	56.000000	3	3	NCBI RefSeq	2026-01-07	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/828/615/GCF_000828615.1_ASM82861v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/828/615/GCF_000828615.1_ASM82861v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/828/615/GCF_000828615.1_ASM82861v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/828/615/GCF_000828615.1_ASM82861v1//_genomic.fna.gz	RS_GCF_000828615.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Thiolapillus;s__Thiolapillus brandeum	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Chromatiales	f__Chromatiaceae	g__Thiolapillus	s__Thiolapillus brandeum	True	True	True	False	3	near_complete	True
GCF_000828635.1	3623	9	0	5	soxa,soxb,soxx,soxy,soxz	37	0	reference genome	1223802	748811	Sulfuritalea hydrogenivorans sk43H	Complete Genome	bacteria	3802648	63.500000	1	1	NCBI RefSeq	2025-12-11	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/828/635/GCF_000828635.1_ASM82863v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/828/635/GCF_000828635.1_ASM82863v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/828/635/GCF_000828635.1_ASM82863v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/828/635/GCF_000828635.1_ASM82863v1//_genomic.fna.gz	RS_GCF_000828635.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Sulfuritalea;s__Sulfuritalea hydrogenivorans	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Rhodocyclaceae	g__Sulfuritalea	s__Sulfuritalea hydrogenivorans	True	True	True	False	3	near_complete	True
GCF_000934605.2	4944	6	0	6	soxa,soxb,soxc,soxx,soxy,soxz	111	0	reference genome	656178	656178	Pandoraea vervacti	Complete Genome	bacteria	5736282	63.500000	2	2	NCBI RefSeq	2026-03-05	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/934/605/GCF_000934605.2_ASM93460v2/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/934/605/GCF_000934605.2_ASM93460v2//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/934/605/GCF_000934605.2_ASM93460v2//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/934/605/GCF_000934605.2_ASM93460v2//_genomic.fna.gz	RS_GCF_000934605.2	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pandoraea;s__Pandoraea vervacti	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Pandoraea	s__Pandoraea vervacti	True	True	True	True	4	complete	True
GCF_000954135.1	4755	5	0	5	soxa,soxb,soxx,soxy,soxz	115	5	reference genome	105219	105219	Ralstonia mannitolilytica	Complete Genome	bacteria	5072301	65.500000	3	3	NCBI RefSeq	2026-03-30	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/954/135/GCF_000954135.1_ASM95413v2/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/954/135/GCF_000954135.1_ASM95413v2//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/954/135/GCF_000954135.1_ASM95413v2//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/954/135/GCF_000954135.1_ASM95413v2//_genomic.fna.gz	RS_GCF_000954135.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__Ralstonia mannitolilytica	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Ralstonia	s__Ralstonia mannitolilytica	True	True	True	False	3	near_complete	True
GCF_000967425.1	4429	6	0	6	soxa,soxb,soxc,soxx,soxy,soxz	68	0	reference genome	1125847	1125847	Pseudorhizobium banfieldiae	Complete Genome	bacteria	4577425	62.000000	3	3	NCBI RefSeq	2026-04-24	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/967/425/GCF_000967425.1_ASM96742v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/967/425/GCF_000967425.1_ASM96742v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/967/425/GCF_000967425.1_ASM96742v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/967/425/GCF_000967425.1_ASM96742v1//_genomic.fna.gz	RS_GCF_000967425.1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Neorhizobium;s__Neorhizobium banfieldiae	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Neorhizobium	s__Neorhizobium banfieldiae	True	True	True	True	4	complete	True
GCF_000968535.2	4061	6	0	6	soxa,soxb,soxc,soxx,soxy,soxz	126	2	reference genome	1091494	271065	Methylotuvimicrobium alcaliphilum 20Z	Complete Genome	bacteria	4796711	48.500000	2	2	NCBI RefSeq	2025-12-13	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/968/535/GCF_000968535.2_ASM96853v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/968/535/GCF_000968535.2_ASM96853v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/968/535/GCF_000968535.2_ASM96853v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/968/535/GCF_000968535.2_ASM96853v1//_genomic.fna.gz	RS_GCF_000968535.2	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylotuvimicrobium;s__Methylotuvimicrobium alcaliphilum	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Methylococcales	f__Methylomonadaceae	g__Methylotuvimicrobium	s__Methylotuvimicrobium alcaliphilum	True	True	True	True	4	complete	True
GCF_000972785.3	5757	6	0	6	soxa,soxb,soxc,soxx,soxy,soxz	338	0	reference genome	573737	573737	Pandoraea oxalativorans	Complete Genome	bacteria	6500731	63.000000	5	5	NCBI RefSeq	2026-05-02	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/972/785/GCF_000972785.3_ASM97278v3/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/972/785/GCF_000972785.3_ASM97278v3//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/972/785/GCF_000972785.3_ASM97278v3//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/972/785/GCF_000972785.3_ASM97278v3//_genomic.fna.gz	RS_GCF_000972785.3	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pandoraea;s__Pandoraea oxalativorans	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Pandoraea	s__Pandoraea oxalativorans	True	True	True	True	4	complete	True
GCF_000973625.1	2060	9	0	6	soxa,soxb,soxc,soxx,soxy,soxz	6	0	reference genome	1835254	1835254	Polynucleobacter duraquae	Complete Genome	bacteria	2026292	45.000000	1	1	NCBI RefSeq	2026-03-03	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/973/625/GCF_000973625.1_ASM97362v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/973/625/GCF_000973625.1_ASM97362v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/973/625/GCF_000973625.1_ASM97362v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/973/625/GCF_000973625.1_ASM97362v1//_genomic.fna.gz	RS_GCF_000973625.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polynucleobacter;s__Polynucleobacter duraquae	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Polynucleobacter	s__Polynucleobacter duraquae	True	True	True	True	4	complete	True
GCF_000987835.1	2189	8	0	6	soxa,soxb,soxc,soxx,soxy,soxz	19	3	reference genome	206403	206403	Sulfurovum lithotrophicum	Complete Genome	bacteria	2217891	44.500000	1	1	NCBI RefSeq	2026-05-02	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/987/835/GCF_000987835.1_ASM98783v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/987/835/GCF_000987835.1_ASM98783v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/987/835/GCF_000987835.1_ASM98783v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/987/835/GCF_000987835.1_ASM98783v1//_genomic.fna.gz	RS_GCF_000987835.1	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae;g__Sulfurovum;s__Sulfurovum lithotrophicum	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Sulfurovaceae	g__Sulfurovum	s__Sulfurovum lithotrophicum	True	True	True	True	4	complete	True
GCF_001007875.1	3649	15	0	5	soxa,soxb,soxx,soxy,soxz	35	0	reference genome	1543721	1543721	Sedimenticola thiotaurini	Complete Genome	bacteria	3962284	57.500000	2	2	NCBI RefSeq	2026-03-03	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/007/875/GCF_001007875.1_ASM100787v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/007/875/GCF_001007875.1_ASM100787v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/007/875/GCF_001007875.1_ASM100787v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/007/875/GCF_001007875.1_ASM100787v1//_genomic.fna.gz	RS_GCF_001007875.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__Chromatiaceae;g__Sedimenticola;s__Sedimenticola thiotaurini	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Chromatiales	f__Chromatiaceae	g__Sedimenticola	s__Sedimenticola thiotaurini	True	True	True	False	3	near_complete	True
GCF_001017435.1	5547	5	0	5	soxa,soxb,soxx,soxy,soxz	56	0	reference genome	413882	413882	Caldimonas brevitalea	Complete Genome	bacteria	6476147	67.500000	1	1	NCBI RefSeq	2026-03-03	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/017/435/GCF_001017435.1_ASM101743v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/017/435/GCF_001017435.1_ASM101743v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/017/435/GCF_001017435.1_ASM101743v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/017/435/GCF_001017435.1_ASM101743v1//_genomic.fna.gz	RS_GCF_001017435.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_C;g__Caldimonas;s__Caldimonas brevitalea	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_C	g__Caldimonas	s__Caldimonas brevitalea	True	True	True	False	3	near_complete	True
GCF_001020955.1	2770	7	0	5	soxa,soxb,soxx,soxy,soxz	29	1	reference genome	106634	106634	Thioalkalivibrio versutus	Complete Genome	bacteria	2969361	66.000000	1	1	NCBI RefSeq	2026-03-30	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/020/955/GCF_001020955.1_ASM102095v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/020/955/GCF_001020955.1_ASM102095v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/020/955/GCF_001020955.1_ASM102095v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/020/955/GCF_001020955.1_ASM102095v1//_genomic.fna.gz	RS_GCF_001020955.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Ectothiorhodospirales;f__Ectothiorhodospiraceae;g__Thioalkalivibrio;s__Thioalkalivibrio versutus	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Ectothiorhodospirales	f__Ectothiorhodospiraceae	g__Thioalkalivibrio	s__Thioalkalivibrio versutus	True	True	True	False	3	near_complete	True
GCF_001029105.3	5095	6	0	6	soxa,soxb,soxc,soxx,soxy,soxz	207	6	reference genome	656179	656179	Pandoraea faecigallinarum	Complete Genome	bacteria	5732664	63.500000	3	3	NCBI RefSeq	2026-03-05	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/029/105/GCF_001029105.3_ASM102910v3/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/029/105/GCF_001029105.3_ASM102910v3//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/029/105/GCF_001029105.3_ASM102910v3//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/029/105/GCF_001029105.3_ASM102910v3//_genomic.fna.gz	RS_GCF_001029105.3	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pandoraea;s__Pandoraea faecigallinarum	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Pandoraea	s__Pandoraea faecigallinarum	True	True	True	True	4	complete	True
GCF_001051995.2	3864	10	0	6	soxa,soxb,soxc,soxx,soxy,soxz	63	0	reference genome	1134435	1134435	Thauera humireducens	Complete Genome	bacteria	4171754	66.500000	1	1	NCBI RefSeq	2026-03-03	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/051/995/GCF_001051995.2_ASM105199v2/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/051/995/GCF_001051995.2_ASM105199v2//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/051/995/GCF_001051995.2_ASM105199v2//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/051/995/GCF_001051995.2_ASM105199v2//_genomic.fna.gz	RS_GCF_001051995.2	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Thauera;s__Thauera humireducens	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Rhodocyclaceae	g__Thauera	s__Thauera humireducens	True	True	True	True	4	complete	True
GCF_001187845.1	3262	6	0	6	soxa,soxb,soxc,soxx,soxy,soxz	10	0	reference genome	1458307	1458307	Octadecabacter temperatus	Complete Genome	bacteria	3264628	54.500000	2	2	NCBI RefSeq	2026-04-26	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/187/845/GCF_001187845.1_ASM118784v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/187/845/GCF_001187845.1_ASM118784v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/187/845/GCF_001187845.1_ASM118784v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/187/845/GCF_001187845.1_ASM118784v1//_genomic.fna.gz	RS_GCF_001187845.1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Octadecabacter;s__Octadecabacter temperatus	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Octadecabacter	s__Octadecabacter temperatus	True	True	True	True	4	complete	True
GCF_001305575.3	3647	4	0	4	soxa,soxb,soxy,soxz	186	2	reference genome	288004	288004	Beggiatoa leptomitoformis	Complete Genome	bacteria	4265317	40.500000	1	1	NCBI RefSeq	2025-04-07	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/305/575/GCF_001305575.3_ASM130557v3/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/305/575/GCF_001305575.3_ASM130557v3//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/305/575/GCF_001305575.3_ASM130557v3//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/305/575/GCF_001305575.3_ASM130557v3//_genomic.fna.gz	RS_GCF_001305575.3	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Beggiatoales;f__Beggiatoaceae;g__Beggiatoa;s__Beggiatoa leptomitoformis	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Beggiatoales	f__Beggiatoaceae	g__Beggiatoa	s__Beggiatoa leptomitoformis	True	True	True	False	3	near_complete	True
GCF_001305595.1	6691	6	0	6	soxa,soxb,soxc,soxx,soxy,soxz	118	6	reference genome	528244	528244	Azospirillum thiophilum	Complete Genome	bacteria	7609458	68.000000	8	8	NCBI RefSeq	2025-05-02	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/305/595/GCF_001305595.1_ASM130559v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/305/595/GCF_001305595.1_ASM130559v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/305/595/GCF_001305595.1_ASM130559v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/305/595/GCF_001305595.1_ASM130559v1//_genomic.fna.gz	RS_GCF_001305595.1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae;g__Azospirillum;s__Azospirillum thiophilum	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Azospirillales	f__Azospirillaceae	g__Azospirillum	s__Azospirillum thiophilum	True	True	True	True	4	complete	True
GCF_001308265.1	3064	6	0	6	soxa,soxb,soxc,soxx,soxy,soxz	54	0	reference genome	1397108	1397108	Celeribacter marinus	Complete Genome	bacteria	3096705	56.000000	1	1	NCBI RefSeq	2026-03-03	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/308/265/GCF_001308265.1_ASM130826v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/308/265/GCF_001308265.1_ASM130826v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/308/265/GCF_001308265.1_ASM130826v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/308/265/GCF_001308265.1_ASM130826v1//_genomic.fna.gz	RS_GCF_001308265.1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Celeribacter;s__Celeribacter marinus	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Celeribacter	s__Celeribacter marinus	True	True	True	True	4	complete	True
