assembly_accession	cluster_id	window_bp	observed_mobile_count	control_mobile_count_mean	observed_mobile_present	control_mobile_present_mean	controls	count_difference	presence_difference
GCF_001693515.2	GCF_001693515.2:NZ_CP042968.1:sox_cluster_2	5000	0	0.4	False	0.25	20	-0.4	-0.25
GCF_001693515.2	GCF_001693515.2:NZ_CP042968.1:sox_cluster_2	10000	0	0.5	False	0.3	20	-0.5	-0.3
GCF_001693515.2	GCF_001693515.2:NZ_CP042968.1:sox_cluster_2	20000	0	0.75	False	0.5	20	-0.75	-0.5
GCF_001705075.2	GCF_001705075.2:NZ_CP080624.1:sox_cluster_1	5000	1	0.55	True	0.5	20	0.44999999999999996	0.5
GCF_001705075.2	GCF_001705075.2:NZ_CP080624.1:sox_cluster_1	10000	1	1.0	True	0.7	20	0.0	0.30000000000000004
GCF_001705075.2	GCF_001705075.2:NZ_CP080624.1:sox_cluster_1	20000	1	1.85	True	0.7	20	-0.8500000000000001	0.30000000000000004
GCF_001705075.2	GCF_001705075.2:NZ_CP080624.1:sox_cluster_2	5000	0	0.2	False	0.15	20	-0.2	-0.15
GCF_001705075.2	GCF_001705075.2:NZ_CP080624.1:sox_cluster_2	10000	0	0.5	False	0.25	20	-0.5	-0.25
GCF_001705075.2	GCF_001705075.2:NZ_CP080624.1:sox_cluster_2	20000	0	1.2	False	0.7	20	-1.2	-0.7
GCF_001723605.1	GCF_001723605.1:NZ_CP017111.1:sox_cluster_1	5000	0	0.1	False	0.1	20	-0.1	-0.1
GCF_001723605.1	GCF_001723605.1:NZ_CP017111.1:sox_cluster_1	10000	0	0.2	False	0.15	20	-0.2	-0.15
GCF_001723605.1	GCF_001723605.1:NZ_CP017111.1:sox_cluster_1	20000	0	0.25	False	0.15	20	-0.25	-0.15
GCF_001747405.1	GCF_001747405.1:NZ_CP017305.1:sox_cluster_1	5000	0	0.55	False	0.4	20	-0.55	-0.4
GCF_001747405.1	GCF_001747405.1:NZ_CP017305.1:sox_cluster_1	10000	0	0.6	False	0.45	20	-0.6	-0.45
GCF_001747405.1	GCF_001747405.1:NZ_CP017305.1:sox_cluster_1	20000	1	0.9	True	0.55	20	0.09999999999999998	0.44999999999999996
GCF_001753165.1	GCF_001753165.1:NZ_CP017448.1:sox_cluster_1	5000	0	0.2	False	0.15	20	-0.2	-0.15
GCF_001753165.1	GCF_001753165.1:NZ_CP017448.1:sox_cluster_1	10000	0	0.4	False	0.35	20	-0.4	-0.35
GCF_001753165.1	GCF_001753165.1:NZ_CP017448.1:sox_cluster_1	20000	0	1.05	False	0.55	20	-1.05	-0.55
GCF_001753165.1	GCF_001753165.1:NZ_CP017448.1:sox_cluster_2	5000	3	0.2	True	0.2	20	2.8	0.8
GCF_001753165.1	GCF_001753165.1:NZ_CP017448.1:sox_cluster_2	10000	3	0.4	True	0.3	20	2.6	0.7
GCF_001753165.1	GCF_001753165.1:NZ_CP017448.1:sox_cluster_2	20000	4	0.95	True	0.65	20	3.05	0.35
GCF_001753165.1	GCF_001753165.1:NZ_CP017448.1:sox_cluster_3	5000	0	0.45	False	0.3	20	-0.45	-0.3
GCF_001753165.1	GCF_001753165.1:NZ_CP017448.1:sox_cluster_3	10000	0	0.65	False	0.4	20	-0.65	-0.4
GCF_001753165.1	GCF_001753165.1:NZ_CP017448.1:sox_cluster_3	20000	1	1.3	True	0.55	20	-0.30000000000000004	0.44999999999999996
GCF_001753165.1	GCF_001753165.1:NZ_CP017448.1:sox_cluster_4	5000	0	0.1	False	0.1	20	-0.1	-0.1
GCF_001753165.1	GCF_001753165.1:NZ_CP017448.1:sox_cluster_4	10000	0	0.25	False	0.25	20	-0.25	-0.25
GCF_001753165.1	GCF_001753165.1:NZ_CP017448.1:sox_cluster_4	20000	0	0.55	False	0.4	20	-0.55	-0.4
GCF_001753245.1	GCF_001753245.1:NZ_CP017415.1:sox_cluster_1	5000	0	0.15	False	0.1	20	-0.15	-0.1
GCF_001753245.1	GCF_001753245.1:NZ_CP017415.1:sox_cluster_1	10000	0	0.2	False	0.15	20	-0.2	-0.15
GCF_001753245.1	GCF_001753245.1:NZ_CP017415.1:sox_cluster_1	20000	0	0.6	False	0.3	20	-0.6	-0.3
GCF_001753245.1	GCF_001753245.1:NZ_CP017415.1:sox_cluster_2	5000	0	0.45	False	0.35	20	-0.45	-0.35
GCF_001753245.1	GCF_001753245.1:NZ_CP017415.1:sox_cluster_2	10000	0	0.55	False	0.35	20	-0.55	-0.35
GCF_001753245.1	GCF_001753245.1:NZ_CP017415.1:sox_cluster_2	20000	2	0.65	True	0.45	20	1.35	0.55
GCF_001753245.1	GCF_001753245.1:NZ_CP017415.1:sox_cluster_3	5000	0	0.4	False	0.15	20	-0.4	-0.15
GCF_001753245.1	GCF_001753245.1:NZ_CP017415.1:sox_cluster_3	10000	0	0.8	False	0.2	20	-0.8	-0.2
GCF_001753245.1	GCF_001753245.1:NZ_CP017415.1:sox_cluster_3	20000	0	1.2	False	0.4	20	-1.2	-0.4
GCF_001753245.1	GCF_001753245.1:NZ_CP017415.1:sox_cluster_4	5000	0	0.0	False	0.0	20	0.0	0.0
GCF_001753245.1	GCF_001753245.1:NZ_CP017415.1:sox_cluster_4	10000	0	0.15	False	0.1	20	-0.15	-0.1
GCF_001753245.1	GCF_001753245.1:NZ_CP017415.1:sox_cluster_4	20000	0	0.6	False	0.25	20	-0.6	-0.25
GCF_001761385.1	GCF_001761385.1:NZ_CP017476.1:sox_cluster_1	5000	0	0.1	False	0.05	20	-0.1	-0.05
GCF_001761385.1	GCF_001761385.1:NZ_CP017476.1:sox_cluster_1	10000	0	0.3	False	0.15	20	-0.3	-0.15
GCF_001761385.1	GCF_001761385.1:NZ_CP017476.1:sox_cluster_1	20000	0	0.35	False	0.15	20	-0.35	-0.15
GCF_001854125.1	GCF_001854125.1:NZ_CP017715.1:sox_cluster_1	5000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_001854125.1	GCF_001854125.1:NZ_CP017715.1:sox_cluster_1	10000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_001854125.1	GCF_001854125.1:NZ_CP017715.1:sox_cluster_1	20000	0	0.15	False	0.1	20	-0.15	-0.1
GCF_001854325.1	GCF_001854325.1:NZ_CP017754.1:sox_cluster_1	5000	0	0.2	False	0.1	20	-0.2	-0.1
GCF_001854325.1	GCF_001854325.1:NZ_CP017754.1:sox_cluster_1	10000	0	0.2	False	0.1	20	-0.2	-0.1
GCF_001854325.1	GCF_001854325.1:NZ_CP017754.1:sox_cluster_1	20000	0	0.2	False	0.1	20	-0.2	-0.1
GCF_001870665.2	GCF_001870665.2:NZ_CP024899.1:sox_cluster_1	5000	0	0.15	False	0.15	20	-0.15	-0.15
GCF_001870665.2	GCF_001870665.2:NZ_CP024899.1:sox_cluster_1	10000	0	0.15	False	0.15	20	-0.15	-0.15
GCF_001870665.2	GCF_001870665.2:NZ_CP024899.1:sox_cluster_1	20000	0	0.3	False	0.25	20	-0.3	-0.25
GCF_001888185.1	GCF_001888185.1:NZ_CP016364.1:sox_cluster_1	5000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_001888185.1	GCF_001888185.1:NZ_CP016364.1:sox_cluster_1	10000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_001888185.1	GCF_001888185.1:NZ_CP016364.1:sox_cluster_1	20000	0	0.1	False	0.1	20	-0.1	-0.1
GCF_001889605.1	GCF_001889605.1:NZ_CP018171.1:sox_cluster_1	5000	0	0.25	False	0.1	20	-0.25	-0.1
GCF_001889605.1	GCF_001889605.1:NZ_CP018171.1:sox_cluster_1	10000	0	0.45	False	0.15	20	-0.45	-0.15
GCF_001889605.1	GCF_001889605.1:NZ_CP018171.1:sox_cluster_1	20000	0	0.8	False	0.2	20	-0.8	-0.2
GCF_001940525.2	GCF_001940525.2:NZ_CP019437.1:sox_cluster_1	5000	0	0.0	False	0.0	20	0.0	0.0
GCF_001940525.2	GCF_001940525.2:NZ_CP019437.1:sox_cluster_1	10000	0	0.2	False	0.1	20	-0.2	-0.1
GCF_001940525.2	GCF_001940525.2:NZ_CP019437.1:sox_cluster_1	20000	0	0.4	False	0.15	20	-0.4	-0.15
GCF_001953055.1	GCF_001953055.1:NZ_CP019044.1:sox_cluster_1	5000	0	0.0	False	0.0	20	0.0	0.0
GCF_001953055.1	GCF_001953055.1:NZ_CP019044.1:sox_cluster_1	10000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_001953055.1	GCF_001953055.1:NZ_CP019044.1:sox_cluster_1	20000	1	0.2	True	0.05	20	0.8	0.95
GCF_001955735.1	GCF_001955735.1:NZ_CP019240.1:sox_cluster_1	5000	0	0.1	False	0.1	20	-0.1	-0.1
GCF_001955735.1	GCF_001955735.1:NZ_CP019240.1:sox_cluster_1	10000	0	0.15	False	0.1	20	-0.15	-0.1
GCF_001955735.1	GCF_001955735.1:NZ_CP019240.1:sox_cluster_1	20000	0	0.65	False	0.45	20	-0.65	-0.45
GCF_001956695.1	GCF_001956695.1:NZ_CP019070.1:sox_cluster_1	5000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_001956695.1	GCF_001956695.1:NZ_CP019070.1:sox_cluster_1	10000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_001956695.1	GCF_001956695.1:NZ_CP019070.1:sox_cluster_1	20000	0	0.1	False	0.05	20	-0.1	-0.05
GCF_001969385.1	GCF_001969385.1:NZ_CP014796.1:sox_cluster_1	5000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_001969385.1	GCF_001969385.1:NZ_CP014796.1:sox_cluster_1	10000	0	0.15	False	0.05	20	-0.15	-0.05
GCF_001969385.1	GCF_001969385.1:NZ_CP014796.1:sox_cluster_1	20000	0	0.2	False	0.1	20	-0.2	-0.1
GCF_001975705.1	GCF_001975705.1:NZ_CP015093.1:sox_cluster_1	5000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_001975705.1	GCF_001975705.1:NZ_CP015093.1:sox_cluster_1	10000	0	0.25	False	0.15	20	-0.25	-0.15
GCF_001975705.1	GCF_001975705.1:NZ_CP015093.1:sox_cluster_1	20000	0	1.1	False	0.25	20	-1.1	-0.25
GCF_001999245.1	GCF_001999245.1:NZ_CP019630.1:sox_cluster_1	5000	0	0.15	False	0.1	20	-0.15	-0.1
GCF_001999245.1	GCF_001999245.1:NZ_CP019630.1:sox_cluster_1	10000	0	0.25	False	0.1	20	-0.25	-0.1
GCF_001999245.1	GCF_001999245.1:NZ_CP019630.1:sox_cluster_1	20000	0	0.25	False	0.1	20	-0.25	-0.1
GCF_002028405.1	GCF_002028405.1:NZ_CP020046.1:sox_cluster_1	5000	0	0.1	False	0.1	20	-0.1	-0.1
GCF_002028405.1	GCF_002028405.1:NZ_CP020046.1:sox_cluster_1	10000	0	0.25	False	0.15	20	-0.25	-0.15
GCF_002028405.1	GCF_002028405.1:NZ_CP020046.1:sox_cluster_1	20000	0	0.4	False	0.3	20	-0.4	-0.3
GCF_002085925.2	GCF_002085925.2:NZ_CP053562.1:sox_cluster_1	5000	0	0.2	False	0.15	20	-0.2	-0.15
GCF_002085925.2	GCF_002085925.2:NZ_CP053562.1:sox_cluster_1	10000	0	0.2	False	0.15	20	-0.2	-0.15
GCF_002085925.2	GCF_002085925.2:NZ_CP053562.1:sox_cluster_1	20000	0	0.35	False	0.25	20	-0.35	-0.25
GCF_002119765.1	GCF_002119765.1:NZ_CP021112.1:sox_cluster_1	5000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_002119765.1	GCF_002119765.1:NZ_CP021112.1:sox_cluster_1	10000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_002119765.1	GCF_002119765.1:NZ_CP021112.1:sox_cluster_1	20000	0	0.1	False	0.1	20	-0.1	-0.1
GCF_002119765.1	GCF_002119765.1:NZ_CP021112.1:sox_cluster_2	5000	0	0.2	False	0.1	20	-0.2	-0.1
GCF_002119765.1	GCF_002119765.1:NZ_CP021112.1:sox_cluster_2	10000	1	0.2	True	0.1	20	0.8	0.9
GCF_002119765.1	GCF_002119765.1:NZ_CP021112.1:sox_cluster_2	20000	1	0.35	True	0.25	20	0.65	0.75
GCF_002215215.1	GCF_002215215.1:NZ_CP018632.1:sox_cluster_1	5000	0	0.3	False	0.15	20	-0.3	-0.15
GCF_002215215.1	GCF_002215215.1:NZ_CP018632.1:sox_cluster_1	10000	0	0.7	False	0.15	20	-0.7	-0.15
GCF_002215215.1	GCF_002215215.1:NZ_CP018632.1:sox_cluster_1	20000	0	1.25	False	0.2	20	-1.25	-0.2
GCF_002215215.1	GCF_002215215.1:NZ_CP018632.1:sox_cluster_2	5000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_002215215.1	GCF_002215215.1:NZ_CP018632.1:sox_cluster_2	10000	0	0.35	False	0.25	20	-0.35	-0.25
GCF_002215215.1	GCF_002215215.1:NZ_CP018632.1:sox_cluster_2	20000	4	0.95	True	0.4	20	3.05	0.6
GCF_002215215.1	GCF_002215215.1:NZ_CP018632.1:sox_cluster_3	5000	0	0.4	False	0.2	20	-0.4	-0.2
GCF_002215215.1	GCF_002215215.1:NZ_CP018632.1:sox_cluster_3	10000	0	0.55	False	0.2	20	-0.55	-0.2
GCF_002215215.1	GCF_002215215.1:NZ_CP018632.1:sox_cluster_3	20000	2	0.95	True	0.35	20	1.05	0.65
GCF_002222655.1	GCF_002222655.1:NZ_CP022423.1:sox_cluster_1	5000	0	0.1	False	0.1	20	-0.1	-0.1
GCF_002222655.1	GCF_002222655.1:NZ_CP022423.1:sox_cluster_1	10000	0	0.1	False	0.1	20	-0.1	-0.1
GCF_002222655.1	GCF_002222655.1:NZ_CP022423.1:sox_cluster_1	20000	0	0.25	False	0.25	20	-0.25	-0.25
GCF_002266435.3	GCF_002266435.3:NZ_CP029426.2:sox_cluster_1	5000	0	0.0	False	0.0	20	0.0	0.0
GCF_002266435.3	GCF_002266435.3:NZ_CP029426.2:sox_cluster_1	10000	0	0.0	False	0.0	20	0.0	0.0
GCF_002266435.3	GCF_002266435.3:NZ_CP029426.2:sox_cluster_1	20000	0	0.0	False	0.0	20	0.0	0.0
GCF_002266435.3	GCF_002266435.3:NZ_CP029426.2:sox_cluster_2	5000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_002266435.3	GCF_002266435.3:NZ_CP029426.2:sox_cluster_2	10000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_002266435.3	GCF_002266435.3:NZ_CP029426.2:sox_cluster_2	20000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_002266435.3	GCF_002266435.3:NZ_CP029426.2:sox_cluster_3	5000	0	0.0	False	0.0	20	0.0	0.0
GCF_002266435.3	GCF_002266435.3:NZ_CP029426.2:sox_cluster_3	10000	0	0.0	False	0.0	20	0.0	0.0
GCF_002266435.3	GCF_002266435.3:NZ_CP029426.2:sox_cluster_3	20000	0	0.0	False	0.0	20	0.0	0.0
GCF_002266435.3	GCF_002266435.3:NZ_CP029426.2:sox_cluster_4	5000	0	0.0	False	0.0	20	0.0	0.0
GCF_002266435.3	GCF_002266435.3:NZ_CP029426.2:sox_cluster_4	10000	0	0.0	False	0.0	20	0.0	0.0
GCF_002266435.3	GCF_002266435.3:NZ_CP029426.2:sox_cluster_4	20000	0	0.0	False	0.0	20	0.0	0.0
GCF_002278135.3	GCF_002278135.3:NZ_CP029425.2:sox_cluster_1	5000	0	0.35	False	0.2	20	-0.35	-0.2
GCF_002278135.3	GCF_002278135.3:NZ_CP029425.2:sox_cluster_1	10000	0	0.8	False	0.3	20	-0.8	-0.3
GCF_002278135.3	GCF_002278135.3:NZ_CP029425.2:sox_cluster_1	20000	0	1.6	False	0.35	20	-1.6	-0.35
GCF_002278135.3	GCF_002278135.3:NZ_CP029425.2:sox_cluster_2	5000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_002278135.3	GCF_002278135.3:NZ_CP029425.2:sox_cluster_2	10000	0	0.2	False	0.15	20	-0.2	-0.15
GCF_002278135.3	GCF_002278135.3:NZ_CP029425.2:sox_cluster_2	20000	0	0.35	False	0.3	20	-0.35	-0.3
GCF_002278135.3	GCF_002278135.3:NZ_CP029425.2:sox_cluster_3	5000	0	0.45	False	0.2	20	-0.45	-0.2
GCF_002278135.3	GCF_002278135.3:NZ_CP029425.2:sox_cluster_3	10000	0	0.5	False	0.2	20	-0.5	-0.2
GCF_002278135.3	GCF_002278135.3:NZ_CP029425.2:sox_cluster_3	20000	0	1.4	False	0.35	20	-1.4	-0.35
GCF_002355335.1	GCF_002355335.1:NZ_AP014946.1:sox_cluster_1	5000	0	0.0	False	0.0	20	0.0	0.0
GCF_002355335.1	GCF_002355335.1:NZ_AP014946.1:sox_cluster_1	10000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_002355335.1	GCF_002355335.1:NZ_AP014946.1:sox_cluster_1	20000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_002355335.1	GCF_002355335.1:NZ_AP014946.1:sox_cluster_2	5000	0	0.0	False	0.0	20	0.0	0.0
GCF_002355335.1	GCF_002355335.1:NZ_AP014946.1:sox_cluster_2	10000	0	0.0	False	0.0	20	0.0	0.0
GCF_002355335.1	GCF_002355335.1:NZ_AP014946.1:sox_cluster_2	20000	0	0.0	False	0.0	20	0.0	0.0
GCF_002355335.1	GCF_002355335.1:NZ_AP014946.1:sox_cluster_3	5000	0	0.0	False	0.0	20	0.0	0.0
GCF_002355335.1	GCF_002355335.1:NZ_AP014946.1:sox_cluster_3	10000	0	0.0	False	0.0	20	0.0	0.0
GCF_002355335.1	GCF_002355335.1:NZ_AP014946.1:sox_cluster_3	20000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_002355415.1	GCF_002355415.1:NZ_AP014936.1:sox_cluster_1	5000	0	0.2	False	0.05	20	-0.2	-0.05
GCF_002355415.1	GCF_002355415.1:NZ_AP014936.1:sox_cluster_1	10000	0	0.2	False	0.05	20	-0.2	-0.05
GCF_002355415.1	GCF_002355415.1:NZ_AP014936.1:sox_cluster_1	20000	0	0.35	False	0.1	20	-0.35	-0.1
GCF_002355415.1	GCF_002355415.1:NZ_AP014936.1:sox_cluster_2	5000	0	0.25	False	0.05	20	-0.25	-0.05
GCF_002355415.1	GCF_002355415.1:NZ_AP014936.1:sox_cluster_2	10000	0	0.45	False	0.1	20	-0.45	-0.1
GCF_002355415.1	GCF_002355415.1:NZ_AP014936.1:sox_cluster_2	20000	0	0.85	False	0.25	20	-0.85	-0.25
GCF_002355415.1	GCF_002355415.1:NZ_AP014936.1:sox_cluster_3	5000	0	0.15	False	0.1	20	-0.15	-0.1
GCF_002355415.1	GCF_002355415.1:NZ_AP014936.1:sox_cluster_3	10000	0	0.15	False	0.1	20	-0.15	-0.1
GCF_002355415.1	GCF_002355415.1:NZ_AP014936.1:sox_cluster_3	20000	0	0.25	False	0.15	20	-0.25	-0.15
GCF_002355735.1	GCF_002355735.1:NZ_AP014879.1:sox_cluster_1	5000	0	0.0	False	0.0	20	0.0	0.0
GCF_002355735.1	GCF_002355735.1:NZ_AP014879.1:sox_cluster_1	10000	0	0.0	False	0.0	20	0.0	0.0
GCF_002355735.1	GCF_002355735.1:NZ_AP014879.1:sox_cluster_1	20000	1	0.0	True	0.0	20	1.0	1.0
GCF_002355735.1	GCF_002355735.1:NZ_AP014879.1:sox_cluster_2	5000	0	0.1	False	0.1	20	-0.1	-0.1
GCF_002355735.1	GCF_002355735.1:NZ_AP014879.1:sox_cluster_2	10000	0	0.1	False	0.1	20	-0.1	-0.1
GCF_002355735.1	GCF_002355735.1:NZ_AP014879.1:sox_cluster_2	20000	0	0.1	False	0.1	20	-0.1	-0.1
GCF_002407265.1	GCF_002407265.1:NZ_CP022196.1:sox_cluster_1	5000	0	0.2	False	0.05	20	-0.2	-0.05
GCF_002407265.1	GCF_002407265.1:NZ_CP022196.1:sox_cluster_1	10000	1	0.25	True	0.05	20	0.75	0.95
GCF_002407265.1	GCF_002407265.1:NZ_CP022196.1:sox_cluster_1	20000	1	0.3	True	0.05	20	0.7	0.95
GCF_002504165.1	GCF_002504165.1:NZ_CP021404.1:sox_cluster_1	5000	0	0.0	False	0.0	20	0.0	0.0
GCF_002504165.1	GCF_002504165.1:NZ_CP021404.1:sox_cluster_1	10000	0	0.1	False	0.1	20	-0.1	-0.1
GCF_002504165.1	GCF_002504165.1:NZ_CP021404.1:sox_cluster_1	20000	0	0.15	False	0.15	20	-0.15	-0.15
GCF_002795845.1	GCF_002795845.1:NZ_CP011797.1:sox_cluster_1	5000	0	0.1	False	0.05	20	-0.1	-0.05
GCF_002795845.1	GCF_002795845.1:NZ_CP011797.1:sox_cluster_1	10000	0	0.25	False	0.1	20	-0.25	-0.1
GCF_002795845.1	GCF_002795845.1:NZ_CP011797.1:sox_cluster_1	20000	0	0.45	False	0.15	20	-0.45	-0.15
GCF_002865605.1	GCF_002865605.1:NZ_CP025583.1:sox_cluster_1	5000	0	0.2	False	0.1	20	-0.2	-0.1
GCF_002865605.1	GCF_002865605.1:NZ_CP025583.1:sox_cluster_1	10000	0	0.2	False	0.1	20	-0.2	-0.1
GCF_002865605.1	GCF_002865605.1:NZ_CP025583.1:sox_cluster_1	20000	0	0.35	False	0.2	20	-0.35	-0.2
GCF_002872475.1	GCF_002872475.1:NZ_CP025682.1:sox_cluster_1	5000	0	0.1	False	0.1	20	-0.1	-0.1
GCF_002872475.1	GCF_002872475.1:NZ_CP025682.1:sox_cluster_1	10000	1	0.25	True	0.25	20	0.75	0.75
GCF_002872475.1	GCF_002872475.1:NZ_CP025682.1:sox_cluster_1	20000	2	0.5	True	0.45	20	1.5	0.55
GCF_002892185.1	GCF_002892185.1:NZ_CP010650.1:sox_cluster_1	5000	0	0.0	False	0.0	20	0.0	0.0
GCF_002892185.1	GCF_002892185.1:NZ_CP010650.1:sox_cluster_1	10000	0	0.0	False	0.0	20	0.0	0.0
GCF_002892185.1	GCF_002892185.1:NZ_CP010650.1:sox_cluster_1	20000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_002983865.1	GCF_002983865.1:NZ_CP027407.1:sox_cluster_1	5000	0	0.15	False	0.1	20	-0.15	-0.1
GCF_002983865.1	GCF_002983865.1:NZ_CP027407.1:sox_cluster_1	10000	0	0.15	False	0.1	20	-0.15	-0.1
GCF_002983865.1	GCF_002983865.1:NZ_CP027407.1:sox_cluster_1	20000	0	0.2	False	0.15	20	-0.2	-0.15
GCF_002995515.1	GCF_002995515.1:NZ_CP027526.1:sox_cluster_1	5000	0	0.7	False	0.15	20	-0.7	-0.15
GCF_002995515.1	GCF_002995515.1:NZ_CP027526.1:sox_cluster_1	10000	0	1.0	False	0.2	20	-1.0	-0.2
GCF_002995515.1	GCF_002995515.1:NZ_CP027526.1:sox_cluster_1	20000	0	1.25	False	0.25	20	-1.25	-0.25
GCF_002995515.1	GCF_002995515.1:NZ_CP027526.1:sox_cluster_2	5000	0	0.1	False	0.05	20	-0.1	-0.05
GCF_002995515.1	GCF_002995515.1:NZ_CP027526.1:sox_cluster_2	10000	0	0.3	False	0.15	20	-0.3	-0.15
GCF_002995515.1	GCF_002995515.1:NZ_CP027526.1:sox_cluster_2	20000	0	0.95	False	0.35	20	-0.95	-0.35
GCF_003008515.1	GCF_003008515.1:NZ_CP027668.1:sox_cluster_1	5000	0	0.0	False	0.0	20	0.0	0.0
GCF_003008515.1	GCF_003008515.1:NZ_CP027668.1:sox_cluster_1	10000	0	0.0	False	0.0	20	0.0	0.0
GCF_003008515.1	GCF_003008515.1:NZ_CP027668.1:sox_cluster_1	20000	0	0.0	False	0.0	20	0.0	0.0
GCF_003008515.1	GCF_003008515.1:NZ_CP027668.1:sox_cluster_2	5000	0	0.0	False	0.0	20	0.0	0.0
GCF_003008515.1	GCF_003008515.1:NZ_CP027668.1:sox_cluster_2	10000	0	0.0	False	0.0	20	0.0	0.0
GCF_003008515.1	GCF_003008515.1:NZ_CP027668.1:sox_cluster_2	20000	0	0.15	False	0.05	20	-0.15	-0.05
GCF_003008555.2	GCF_003008555.2:NZ_CP027665.1:sox_cluster_1	5000	4	0.1	True	0.1	20	3.9	0.9
GCF_003008555.2	GCF_003008555.2:NZ_CP027665.1:sox_cluster_1	10000	5	0.4	True	0.15	20	4.6	0.85
GCF_003008555.2	GCF_003008555.2:NZ_CP027665.1:sox_cluster_1	20000	5	0.65	True	0.25	20	4.35	0.75
GCF_003008575.1	GCF_003008575.1:NZ_CP027667.1:sox_cluster_1	5000	0	0.6	False	0.25	20	-0.6	-0.25
GCF_003008575.1	GCF_003008575.1:NZ_CP027667.1:sox_cluster_1	10000	0	0.9	False	0.35	20	-0.9	-0.35
GCF_003008575.1	GCF_003008575.1:NZ_CP027667.1:sox_cluster_1	20000	0	1.1	False	0.4	20	-1.1	-0.4
GCF_003065365.1	GCF_003065365.1:NZ_CP023276.1:sox_cluster_1	5000	0	0.1	False	0.05	20	-0.1	-0.05
GCF_003065365.1	GCF_003065365.1:NZ_CP023276.1:sox_cluster_1	10000	0	0.15	False	0.1	20	-0.15	-0.1
GCF_003065365.1	GCF_003065365.1:NZ_CP023276.1:sox_cluster_1	20000	0	0.25	False	0.2	20	-0.25	-0.2
GCF_003065385.1	GCF_003065385.1:NZ_CP023277.1:sox_cluster_1	5000	0	0.65	False	0.15	20	-0.65	-0.15
GCF_003065385.1	GCF_003065385.1:NZ_CP023277.1:sox_cluster_1	10000	0	0.7	False	0.15	20	-0.7	-0.15
GCF_003065385.1	GCF_003065385.1:NZ_CP023277.1:sox_cluster_1	20000	0	1.1	False	0.15	20	-1.1	-0.15
GCF_003324675.1	GCF_003324675.1:NZ_CP030918.1:sox_cluster_1	5000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_003324675.1	GCF_003324675.1:NZ_CP030918.1:sox_cluster_1	10000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_003324675.1	GCF_003324675.1:NZ_CP030918.1:sox_cluster_1	20000	0	0.15	False	0.1	20	-0.15	-0.1
GCF_003346755.1	GCF_003346755.1:NZ_CP031218.1:sox_cluster_1	5000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_003346755.1	GCF_003346755.1:NZ_CP031218.1:sox_cluster_1	10000	0	0.05	False	0.05	20	-0.05	-0.05
GCF_003346755.1	GCF_003346755.1:NZ_CP031218.1:sox_cluster_1	20000	0	0.1	False	0.1	20	-0.1	-0.1
GCF_003346815.1	GCF_003346815.1:NZ_CP031217.1:sox_cluster_1	5000	0	0.0	False	0.0	20	0.0	0.0
GCF_003346815.1	GCF_003346815.1:NZ_CP031217.1:sox_cluster_1	10000	1	0.0	True	0.0	20	1.0	1.0
GCF_003346815.1	GCF_003346815.1:NZ_CP031217.1:sox_cluster_1	20000	1	0.0	True	0.0	20	1.0	1.0
GCF_003355515.1	GCF_003355515.1:NZ_CP031367.1:sox_cluster_1	5000	0	0.4	False	0.15	20	-0.4	-0.15
GCF_003355515.1	GCF_003355515.1:NZ_CP031367.1:sox_cluster_1	10000	0	0.55	False	0.2	20	-0.55	-0.2
GCF_003355515.1	GCF_003355515.1:NZ_CP031367.1:sox_cluster_1	20000	0	0.6	False	0.2	20	-0.6	-0.2
GCF_003403095.1	GCF_003403095.1:NZ_CP031555.1:sox_cluster_1	5000	0	0.2	False	0.1	20	-0.2	-0.1
GCF_003403095.1	GCF_003403095.1:NZ_CP031555.1:sox_cluster_1	10000	0	0.3	False	0.1	20	-0.3	-0.1
GCF_003403095.1	GCF_003403095.1:NZ_CP031555.1:sox_cluster_1	20000	0	0.45	False	0.1	20	-0.45	-0.1
GCF_003544815.1	GCF_003544815.1:NZ_CP032100.1:sox_cluster_1	5000	0	0.1	False	0.1	20	-0.1	-0.1
